User:	vzw Between The Hills
Company:	Asd
Venue:	Putrock - Underground
Soundcard Serial#:	1724
Microphone Serial#:	1724
Calibration Value: 	0,0143
Calibration date: 	Factory Calibration
Software Version:	10EaZy Version 2.5.0_build 131014 , Web server IP is 127.0.0.1
File Created:	17/04/2017 10:34:46

dBA limit in this session	85
Leq period [Min]	15



Time	Running Order	Leq 1 min dB(A)	Leq 60 Min dB(A)	Leq 15 Min dB(A)	Leq 1 min dB(C)	Leq 60 Min dB(C)	Leq 15 Min dB(C)	Max FAST dB(A)	Max Peak dB(C)	Leq 60 min dB(A)	Leq C - A	Max SLOW dB(A)	Leq 1 min - Audience dB(A)	
17/04/2017 10:35		67,8	67,8	67,8	85,4	85,4	85,4	84,2	106,0	67,8	17,6	64,5	67,8
17/04/2017 10:36		64,2	66,3	66,3	83,9	84,7	84,7	78,4	98,0	66,3	19,7	65,7	64,2
17/04/2017 10:37		65,4	66,1	66,1	85,2	84,9	84,9	79,1	98,5	66,1	19,8	66,1	65,4
17/04/2017 10:38		69,1	67,1	67,1	84,6	84,8	84,8	82,5	101,2	67,1	15,5	72,0	69,1
17/04/2017 10:39		66,4	66,9	66,9	80,8	84,3	84,3	75,2	97,7	66,9	14,4	64,0	66,4
17/04/2017 10:40		68,6	67,3	67,3	80,5	83,8	83,8	81,9	98,1	67,3	11,9	66,9	68,6
17/04/2017 10:41		66,7	67,2	67,2	83,8	83,8	83,8	81,0	96,9	67,2	17,1	73,6	66,7
17/04/2017 10:42		70,0	67,7	67,7	82,7	83,7	83,7	82,0	99,0	67,7	12,7	68,9	70,0
17/04/2017 10:43		73,1	68,7	68,7	79,2	83,4	83,4	86,0	99,0	68,7	6,1	69,5	72,2
17/04/2017 10:44		70,1	68,9	68,9	80,2	83,1	83,1	82,8	98,0	68,9	10,1	61,9	70,1
17/04/2017 10:45		67,6	68,8	68,8	79,5	82,9	82,9	84,6	98,9	68,8	11,9	63,1	67,6
17/04/2017 10:46		66,9	68,6	68,6	79,0	82,7	82,7	82,1	97,2	68,6	12,1	61,8	66,9
17/04/2017 10:47		71,5	69,0	69,0	87,4	83,3	83,3	84,7	102,9	69,0	15,9	68,7	71,5
17/04/2017 10:48		65,5	68,8	68,8	84,4	83,4	83,4	77,3	101,8	68,8	18,9	64,7	65,5
17/04/2017 10:49		67,9	68,7	68,7	81,0	83,3	83,3	85,7	99,3	68,7	13,1	63,1	67,9
17/04/2017 10:50		64,5	68,6	68,6	82,3	83,2	83,0	79,2	96,5	68,6	17,8	58,4	64,5
17/04/2017 10:51		67,6	68,5	68,7	86,3	83,5	83,3	81,9	100,1	68,5	18,7	69,9	67,6
17/04/2017 10:52		74,3	69,1	69,5	92,0	84,7	84,7	91,2	110,1	69,1	17,7	60,8	73,9
17/04/2017 10:53		66,9	69,0	69,4	75,0	84,5	84,4	83,0	97,0	69,0	8,1	73,9	66,9
17/04/2017 10:54		65,2	68,9	69,4	77,8	84,3	84,4	80,7	101,3	68,9	12,6	65,7	65,2
17/04/2017 10:55		64,5	68,8	69,2	85,0	84,4	84,6	75,4	101,3	68,8	20,5	67,4	64,5
17/04/2017 10:56		70,7	68,9	69,5	83,1	84,3	84,5	90,3	103,9	68,9	12,4	72,3	70,7
17/04/2017 10:57		68,7	68,9	69,4	83,2	84,3	84,6	86,6	98,5	68,9	14,5	66,3	68,7
17/04/2017 10:58		69,9	68,9	69,0	77,6	84,1	84,5	87,6	100,8	68,9	7,7	61,8	69,9
17/04/2017 10:59		70,1	69,0	69,0	82,5	84,1	84,6	87,1	103,8	69,0	12,5	62,4	69,5
17/04/2017 11:00		64,9	68,9	68,9	85,5	84,1	84,9	77,4	103,0	68,9	20,6	65,0	64,9
17/04/2017 11:01		63,6	68,8	68,8	81,2	84,1	84,9	77,4	96,1	68,8	17,5	60,6	63,6
17/04/2017 11:02		64,4	68,7	68,4	81,2	84,0	84,5	82,9	98,3	68,7	16,8	76,5	64,4
17/04/2017 11:03		69,8	68,7	68,6	78,9	83,9	84,3	86,3	100,9	68,7	9,1	69,9	69,8
17/04/2017 11:04		70,0	68,7	68,8	82,2	83,8	84,4	87,2	99,8	68,7	12,2	68,2	70,0
17/04/2017 11:05		68,7	68,7	68,9	88,8	84,1	84,9	88,9	101,7	68,7	20,2	63,3	68,5
17/04/2017 11:06		66,9	68,7	68,9	86,0	84,2	84,9	82,1	99,1	68,7	19,1	66,6	66,9
17/04/2017 11:07		69,5	68,7	68,2	83,3	84,2	83,4	88,0	100,5	68,7	13,8	79,9	69,3
17/04/2017 11:08		69,7	68,8	68,4	81,4	84,1	83,6	87,4	100,5	68,8	11,6	71,1	69,7
17/04/2017 11:09		71,0	68,8	68,8	83,4	84,1	83,8	80,8	97,9	68,8	12,3	75,0	71,0
17/04/2017 11:10		71,9	69,0	69,2	78,5	84,0	83,4	88,6	102,1	69,0	6,6	74,8	71,5
17/04/2017 11:11		72,4	69,1	69,4	85,0	84,0	83,6	90,4	103,7	69,1	12,5	61,8	71,7
17/04/2017 11:12		67,9	69,1	69,4	84,5	84,1	83,7	84,4	99,8	69,1	16,6	60,0	67,9
17/04/2017 11:13		65,6	69,0	69,2	81,6	84,0	83,8	80,7	95,7	69,0	16,0	66,8	65,6
17/04/2017 11:14		67,6	69,0	69,0	86,1	84,1	84,0	81,2	99,9	69,0	18,5	67,3	67,6
17/04/2017 11:15		66,2	68,9	69,1	86,1	84,1	84,1	79,3	98,2	68,9	20,0	64,3	66,2
17/04/2017 11:16		68,8	68,9	69,2	83,7	84,1	84,2	88,6	101,4	68,9	14,8	63,2	68,8
17/04/2017 11:17		62,5	68,9	69,2	85,8	84,2	84,5	73,6	98,4	68,9	23,3	59,2	62,5
17/04/2017 11:18		58,7	68,8	68,9	72,0	84,1	84,4	69,6	90,8	68,8	13,3	61,6	58,7
17/04/2017 11:19		66,6	68,7	68,7	90,9	84,4	85,4	76,1	101,0	68,7	24,3	65,1	66,6
17/04/2017 11:20		61,5	68,6	68,4	70,0	84,3	84,7	73,6	90,1	68,6	8,5	62,3	61,5
17/04/2017 11:21		64,9	68,6	68,4	84,1	84,3	84,6	77,3	96,7	68,6	19,3	59,0	64,9
