User:	vzw Between The Hills
Company:	Asd
Venue:	Putrock - Underground
Soundcard Serial#:	1724
Microphone Serial#:	1724
Calibration Value: 	0,0143
Calibration date: 	Factory Calibration
Software Version:	10EaZy Version 2.5.0_build 131014 , Web server IP is 127.0.0.1
File Created:	20/04/2017 12:47:52

dBA limit in this session	85
Leq period [Min]	15



Time	Running Order	Leq 1 min dB(A)	Leq 60 Min dB(A)	Leq 15 Min dB(A)	Leq 1 min dB(C)	Leq 60 Min dB(C)	Leq 15 Min dB(C)	Max FAST dB(A)	Max Peak dB(C)	Leq 60 min dB(A)	Leq C - A	Max SLOW dB(A)	Leq 1 min - Audience dB(A)	
20/04/2017 12:48		78,3	78,3	78,3	93,0	93,0	93,0	83,4	107,4	78,3	14,7	77,8	78,3
20/04/2017 12:49		78,9	78,6	78,6	88,7	91,3	91,3	84,5	107,0	78,6	9,8	81,3	78,9
20/04/2017 12:50		81,6	79,9	79,9	90,2	91,0	91,0	85,9	106,5	79,9	8,6	81,7	81,6
20/04/2017 12:51		81,3	80,3	80,3	90,7	90,9	90,9	85,1	106,8	80,3	9,4	80,1	81,3
20/04/2017 12:52		81,2	80,5	80,5	90,3	90,8	90,8	84,9	106,2	80,5	9,0	81,1	81,2
20/04/2017 12:53		81,0	80,6	80,6	91,0	90,8	90,8	85,9	108,4	80,6	10,0	80,8	81,0
20/04/2017 12:54		80,5	80,6	80,6	93,1	91,2	91,2	85,9	107,8	80,6	12,6	78,8	80,5
20/04/2017 12:55		82,3	80,8	80,8	92,9	91,5	91,5	86,8	107,5	80,8	10,6	81,2	82,3
20/04/2017 12:56		82,0	81,0	81,0	91,6	91,5	91,5	87,1	107,2	81,0	9,6	70,7	82,0
20/04/2017 12:57		79,3	80,8	80,8	90,6	91,4	91,4	83,8	106,0	80,8	11,3	79,3	79,3
20/04/2017 12:58		80,8	80,8	80,8	91,9	91,5	91,5	84,4	106,3	80,8	11,1	82,4	80,8
20/04/2017 12:59		81,0	80,9	80,9	90,7	91,4	91,4	84,8	106,1	80,9	9,6	82,1	81,0
20/04/2017 13:00		79,3	80,7	80,7	86,9	91,2	91,2	85,1	105,7	80,7	7,6	77,8	79,3
20/04/2017 13:01		80,6	80,7	80,7	90,0	91,1	91,1	86,5	105,8	80,7	9,5	82,7	80,6
20/04/2017 13:02		84,8	81,2	81,2	91,6	91,1	91,1	100,5	113,2	81,2	6,8	84,2	84,0
20/04/2017 13:03		81,4	81,2	81,3	90,2	91,1	90,9	89,1	107,3	81,2	8,8	78,1	81,4
20/04/2017 13:04		79,9	81,1	81,4	90,1	91,0	91,0	86,5	104,4	81,1	10,1	78,7	79,9
20/04/2017 13:05		81,3	81,1	81,3	90,8	91,0	91,0	84,8	106,0	81,1	9,5	81,6	81,3
20/04/2017 13:06		81,7	81,2	81,4	90,4	91,0	91,0	84,7	105,3	81,2	8,7	80,9	81,7
20/04/2017 13:07		80,0	81,1	81,3	89,0	90,9	90,9	85,8	105,6	81,1	9,0	75,9	80,0
20/04/2017 13:08		81,2	81,1	81,3	91,3	90,9	91,0	89,3	106,9	81,1	10,1	82,7	81,2
20/04/2017 13:09		81,6	81,1	81,4	91,7	91,0	90,8	87,4	106,5	81,1	10,1	82,7	81,5
20/04/2017 13:10		82,6	81,2	81,4	92,1	91,0	90,7	87,9	107,0	81,2	9,5	83,2	82,6
20/04/2017 13:11		80,0	81,2	81,3	90,2	91,0	90,6	89,8	106,3	81,2	10,2	82,3	79,8
20/04/2017 13:12		77,6	81,1	81,2	86,3	90,9	90,5	86,1	104,7	81,1	8,7	71,6	77,6
20/04/2017 13:13		73,4	80,9	81,0	81,7	90,7	90,1	86,4	103,8	80,9	8,4	63,4	73,1
20/04/2017 13:14		68,2	80,8	80,7	77,7	90,6	89,8	84,6	103,0	80,8	9,5	71,6	68,2
20/04/2017 13:15		81,0	80,8	80,8	88,9	90,5	89,8	93,2	107,9	80,8	7,9	82,8	80,8
20/04/2017 13:16		82,5	80,8	81,0	91,5	90,5	90,0	86,1	105,7	80,8	9,0	83,8	82,5
20/04/2017 13:17		82,6	80,9	80,7	90,8	90,6	89,9	86,2	105,5	80,9	8,2	79,6	82,5
20/04/2017 13:18		78,9	80,9	80,5	90,3	90,5	89,9	84,3	107,5	80,9	11,4	82,4	78,9
20/04/2017 13:19		82,9	80,9	80,7	92,8	90,6	90,2	91,2	107,4	80,9	9,9	84,4	82,9
20/04/2017 13:20		84,8	81,1	81,1	93,0	90,7	90,4	96,1	109,2	81,1	8,2	84,8	84,8
20/04/2017 13:21		81,1	81,1	81,1	91,4	90,8	90,4	87,2	106,7	81,1	10,4	81,9	81,1
20/04/2017 13:22		81,7	81,1	81,2	91,8	90,8	90,6	86,3	106,2	81,1	10,1	82,5	81,7
20/04/2017 13:23		82,7	81,2	81,3	92,0	90,8	90,7	87,0	106,7	81,2	9,3	83,6	82,7
20/04/2017 13:24		82,0	81,2	81,3	91,3	90,8	90,7	86,2	105,5	81,2	9,2	83,4	82,0
20/04/2017 13:25		82,3	81,3	81,3	93,0	90,9	90,8	87,3	106,1	81,3	10,7	82,8	82,3
20/04/2017 13:26		82,9	81,3	81,5	92,9	91,0	91,0	92,3	106,4	81,3	10,0	84,6	82,9
20/04/2017 13:27		83,7	81,4	81,9	93,0	91,0	91,3	91,0	106,8	81,4	9,3	79,8	83,7
20/04/2017 13:28		81,9	81,4	82,1	92,0	91,1	91,6	87,2	106,4	81,4	10,0	66,2	81,9
20/04/2017 13:29		79,3	81,4	82,3	90,0	91,0	91,8	84,4	106,1	81,4	10,6	79,8	79,3
20/04/2017 13:30		81,5	81,4	82,3	91,5	91,1	91,9	86,5	109,9	81,4	9,9	76,4	81,5
20/04/2017 13:31		80,0	81,3	82,2	90,7	91,1	91,9	87,7	110,9	81,3	10,8	80,5	80,0
20/04/2017 13:32		81,5	81,3	82,1	89,3	91,0	91,8	91,7	105,3	81,3	7,8	82,1	81,5
20/04/2017 13:33		80,8	81,3	82,2	88,9	91,0	91,8	87,4	104,6	81,3	8,1	73,0	80,8
20/04/2017 13:34		79,2	81,3	82,0	88,9	90,9	91,5	84,5	107,5	81,3	9,8	80,7	79,2
20/04/2017 13:35		81,7	81,3	81,7	90,1	90,9	91,3	86,9	107,6	81,3	8,3	83,1	81,7
20/04/2017 13:36		80,3	81,3	81,6	90,1	90,9	91,3	86,6	106,5	81,3	9,8	79,5	80,3
20/04/2017 13:37		80,5	81,3	81,5	90,6	90,9	91,2	86,3	108,1	81,3	10,1	81,9	80,5
20/04/2017 13:38		81,7	81,3	81,5	90,9	90,9	91,1	88,6	107,4	81,3	9,2	82,6	81,7
20/04/2017 13:39		81,8	81,3	81,5	90,6	90,9	91,1	90,5	109,1	81,3	8,8	83,2	81,8
20/04/2017 13:40		81,4	81,3	81,4	90,5	90,9	90,8	89,7	108,1	81,3	9,1	72,4	81,4
20/04/2017 13:41		77,7	81,2	81,1	88,4	90,9	90,5	84,8	107,5	81,2	10,7	81,3	77,7
20/04/2017 13:42		79,3	81,2	80,7	90,0	90,8	90,3	85,3	107,5	81,2	10,7	78,8	79,3
20/04/2017 13:43		79,0	81,2	80,6	90,2	90,8	90,1	83,4	107,9	81,2	11,2	80,6	79,0
20/04/2017 13:44		78,9	81,2	80,5	89,6	90,8	90,1	85,4	107,1	81,2	10,7	82,4	78,8
20/04/2017 13:45		81,0	81,2	80,5	90,0	90,8	90,0	90,0	106,5	81,2	9,0	82,9	81,0
20/04/2017 13:46		81,8	81,2	80,6	91,0	90,8	90,0	88,6	105,3	81,2	9,2	83,1	81,8
20/04/2017 13:47		80,5	81,2	80,5	88,2	90,8	90,0	87,5	106,2	81,2	7,7	78,9	80,4
20/04/2017 13:48		80,6	81,2	80,5	89,1	90,7	90,0	86,4	106,2	81,2	8,5	79,9	80,6
20/04/2017 13:49		81,6	81,2	80,7	89,7	90,7	90,0	87,7	106,9	81,2	8,1	82,1	81,6
