User:	vzw Between The Hills
Company:	Asd
Venue:	Putrock - Underground
Soundcard Serial#:	1724
Microphone Serial#:	1724
Calibration Value: 	0,0143
Calibration date: 	Factory Calibration
Software Version:	10EaZy Version 2.5.0_build 131014 , Web server IP is 127.0.0.1
File Created:	20/04/2017 19:13:32

dBA limit in this session	95
Leq period [Min]	15



Time	Running Order	Leq 1 min dB(A)	Leq 60 Min dB(A)	Leq 15 Min dB(A)	Leq 1 min dB(C)	Leq 60 Min dB(C)	Leq 15 Min dB(C)	Max FAST dB(A)	Max Peak dB(C)	Leq 60 min dB(A)	Leq C - A	Max SLOW dB(A)	Leq 1 min - Audience dB(A)	
20/04/2017 19:14		88,0	88,0	88,0	101,3	101,3	101,3	91,5	113,9	88,0	13,3	88,3	88,0
20/04/2017 19:15		87,6	87,8	87,8	98,8	100,2	100,2	91,2	112,6	87,8	11,2	87,2	87,6
20/04/2017 19:16		86,5	87,4	87,4	102,7	101,2	101,2	91,6	117,4	87,4	16,2	88,5	86,5
20/04/2017 19:17		90,1	88,2	88,2	104,8	102,4	102,4	93,5	116,8	88,2	14,7	88,8	90,0
20/04/2017 19:18		88,5	88,3	88,3	99,1	101,9	101,9	93,5	113,9	88,3	10,6	91,5	88,5
20/04/2017 19:19		89,6	88,5	88,5	102,7	102,1	102,1	94,1	116,5	88,5	13,2	87,0	89,5
20/04/2017 19:20		90,2	88,8	88,8	104,2	102,5	102,5	94,8	120,5	88,8	14,1	87,8	90,2
20/04/2017 19:21		84,9	88,5	88,5	98,7	102,1	102,1	89,1	116,9	88,5	13,9	87,4	84,7
20/04/2017 19:22		87,0	88,3	88,3	98,2	101,8	101,8	96,8	112,4	88,3	11,2	86,5	87,0
20/04/2017 19:23		86,3	88,2	88,2	94,7	101,5	101,5	94,6	113,2	88,2	8,4	85,3	86,3
20/04/2017 19:24		88,1	88,2	88,2	101,5	101,5	101,5	91,5	115,0	88,2	13,3	84,0	88,1
20/04/2017 19:25		88,5	88,2	88,2	99,9	101,4	101,4	93,5	114,4	88,2	11,4	89,5	88,5
20/04/2017 19:26		87,4	88,1	88,1	99,7	101,2	101,2	93,6	114,1	88,1	12,3	85,2	87,3
20/04/2017 19:27		80,7	87,9	87,9	91,3	101,0	101,0	88,7	108,0	87,9	10,6	83,1	80,5
20/04/2017 19:28		80,8	87,6	87,6	93,0	100,7	100,7	87,4	108,3	87,6	12,2	83,3	80,8
20/04/2017 19:29		88,8	87,7	87,7	98,7	100,6	100,6	95,2	114,8	87,7	9,9	88,1	88,7
20/04/2017 19:30		91,1	88,0	88,0	95,1	100,4	100,4	94,5	108,8	88,0	4,0	91,5	91,1
20/04/2017 19:31		85,8	87,9	88,0	92,9	100,2	100,0	93,1	107,9	87,9	7,1	84,1	85,8
